date,auction_name,eua_price_eur_t
2013-09-12 00:00:00,EU,5.3
2013-09-13 00:00:00,DE,5.37
2013-09-16 00:00:00,EU,5.38
2013-09-16 00:00:00,PL,5.42
2013-09-17 00:00:00,EU,5.44
2013-09-19 00:00:00,EU,5.4
2013-09-20 00:00:00,DE,5.3
2013-09-23 00:00:00,EU,5.24
2013-09-23 00:00:00,PL,5.37
2013-09-24 00:00:00,EU,5.47
2013-09-26 00:00:00,EU,5.33
2013-09-27 00:00:00,DE,5.38
2013-09-30 00:00:00,PL,5.15
2013-09-30 00:00:00,EU,5.21
2013-10-01 00:00:00,EU,5.05
2013-10-04 00:00:00,DE,5.12
2013-10-07 00:00:00,EU,5.1
2013-10-07 00:00:00,PL,5.05
2013-10-08 00:00:00,EU,4.88
2013-10-10 00:00:00,EU,4.7
2013-10-11 00:00:00,DE,4.58
2013-10-14 00:00:00,EU,4.54
2013-10-14 00:00:00,PL,4.56
2013-10-15 00:00:00,EU,5.07
2013-10-17 00:00:00,EU,5.27
2013-10-18 00:00:00,DE,5.14
2013-10-21 00:00:00,EU,4.94
2013-10-21 00:00:00,PL,4.78
2013-10-22 00:00:00,EU,4.64
2013-10-24 00:00:00,EU,4.58
2013-10-25 00:00:00,DE,4.61
2013-10-28 00:00:00,EU,4.85
2013-10-28 00:00:00,PL,4.81
2013-10-29 00:00:00,EU,4.78
2013-10-31 00:00:00,EU,4.87
2013-11-01 00:00:00,DE,4.63
2013-11-04 00:00:00,EU,4.58
2013-11-04 00:00:00,PL,4.64
2013-11-05 00:00:00,EU,4.7
2013-11-07 00:00:00,EU,4.73
2013-11-08 00:00:00,DE,4.78
2013-11-11 00:00:00,EU,4.45
2013-11-11 00:00:00,PL,4.47
2013-11-12 00:00:00,EU,4.57
2013-11-14 00:00:00,EU,4.63
2013-11-15 00:00:00,DE,4.46
2013-11-18 00:00:00,PL,4.33
2013-11-18 00:00:00,EU,4.38
2013-11-19 00:00:00,EU,4.44
2013-11-21 00:00:00,EU,4.44
2013-11-22 00:00:00,DE,4.48
2013-11-25 00:00:00,EU,4.38
2013-11-25 00:00:00,PL,4.38
2013-11-26 00:00:00,EU,4.41
2013-11-28 00:00:00,EU,4.41
2013-11-29 00:00:00,DE,4.36
2013-12-02 00:00:00,EU,4.33
2013-12-02 00:00:00,PL,4.36
2013-12-03 00:00:00,EU,4.47
2013-12-05 00:00:00,EU,4.49
2013-12-06 00:00:00,DE,4.7
2013-12-09 00:00:00,EU,4.71
2013-12-09 00:00:00,PL,4.65
2013-12-10 00:00:00,EU,4.8
2013-12-12 00:00:00,EU,4.77
2013-12-13 00:00:00,DE,4.84
2013-12-16 00:00:00,EU,4.71
2013-12-16 00:00:00,PL,4.69
2013-12-17 00:00:00,EU,4.7
2014-01-07 00:00:00,EU,4.65
2014-01-08 00:00:00,PL,4.69
2014-01-09 00:00:00,EU,4.56
2014-01-10 00:00:00,DE,4.45
2014-01-13 00:00:00,EU,4.52
2014-01-14 00:00:00,EU,4.73
2014-01-16 00:00:00,EU,5.01
2014-01-17 00:00:00,DE,5.04
2014-01-20 00:00:00,EU,5.05
2014-01-21 00:00:00,EU,4.93
2014-01-23 00:00:00,EU,5.02
2014-01-24 00:00:00,DE,4.97
2014-01-27 00:00:00,EU,5.34
2014-01-28 00:00:00,EU,5.47
2014-01-30 00:00:00,EU,5.55
2014-01-31 00:00:00,DE,5.6
2014-02-03 00:00:00,EU,5.48
2014-02-04 00:00:00,EU,5.93
2014-02-05 00:00:00,PL,5.97
2014-02-06 00:00:00,EU,6.01
2014-02-07 00:00:00,DE,6.45
2014-02-10 00:00:00,EU,6.34
2014-02-11 00:00:00,EU,6.3
2014-02-13 00:00:00,EU,6.21
2014-02-14 00:00:00,DE,6.31
2014-02-17 00:00:00,EU,6.7
2014-02-18 00:00:00,EU,6.74
2014-02-20 00:00:00,EU,6.92
2014-02-21 00:00:00,DE,6.85
2014-02-24 00:00:00,EU,7.1
2014-02-25 00:00:00,EU,6.85
2014-02-27 00:00:00,EU,6.47
2014-02-28 00:00:00,DE,6.83
2014-03-03 00:00:00,EU,6.97
2014-03-04 00:00:00,EU,6.65
2014-03-05 00:00:00,PL,6.89
2014-03-06 00:00:00,EU,6.71
2014-03-07 00:00:00,DE,6.72
2014-03-10 00:00:00,EU,6.93
2014-03-11 00:00:00,EU,6.81
2014-03-13 00:00:00,EU,6.51
2014-03-14 00:00:00,DE,6.19
2014-03-17 00:00:00,EU,6.15
2014-03-18 00:00:00,EU,6.0
2014-03-20 00:00:00,EU,6.0
2014-03-21 00:00:00,DE,6.1
2014-03-24 00:00:00,EU,6.08
2014-03-25 00:00:00,EU,5.8
2014-03-27 00:00:00,EU,5.35
2014-03-28 00:00:00,DE,5.1
2014-03-31 00:00:00,EU,4.17
2014-04-01 00:00:00,EU,4.9
2014-04-03 00:00:00,EU,4.6
2014-04-04 00:00:00,DE,4.75
2014-04-07 00:00:00,EU,4.72
2014-04-08 00:00:00,EU,5.03
2014-04-10 00:00:00,EU,5.0
2014-04-11 00:00:00,DE,5.26
2014-04-14 00:00:00,EU,5.3
2014-04-15 00:00:00,EU,5.23
2014-04-17 00:00:00,EU,5.46
2014-04-22 00:00:00,EU,5.62
2014-04-24 00:00:00,EU,5.77
2014-04-25 00:00:00,DE,5.52
2014-04-28 00:00:00,EU,5.21
2014-04-29 00:00:00,EU,5.39
2014-05-02 00:00:00,DE,5.28
2014-05-05 00:00:00,EU,5.03
2014-05-06 00:00:00,EU,5.25
2014-05-08 00:00:00,EU,5.09
2014-05-09 00:00:00,DE,5.1
2014-05-12 00:00:00,EU,5.28
2014-05-13 00:00:00,EU,5.34
2014-05-15 00:00:00,EU,4.75
2014-05-16 00:00:00,DE,4.72
2014-05-19 00:00:00,EU,4.6
2014-05-20 00:00:00,EU,4.59
2014-05-22 00:00:00,EU,5.23
2014-05-23 00:00:00,DE,5.08
2014-05-26 00:00:00,EU,4.98
2014-05-27 00:00:00,EU,5.05
2014-05-30 00:00:00,DE,5.1
2014-06-02 00:00:00,EU,4.94
2014-06-03 00:00:00,EU,5.19
2014-06-05 00:00:00,EU,5.5
2014-06-06 00:00:00,DE,5.41
2014-06-10 00:00:00,EU,5.45
2014-06-12 00:00:00,EU,5.4
2014-06-13 00:00:00,DE,5.63
2014-06-16 00:00:00,EU,5.68
2014-06-17 00:00:00,EU,5.55
2014-06-19 00:00:00,EU,5.6
2014-06-20 00:00:00,DE,5.56
2014-06-23 00:00:00,EU,5.64
2014-06-24 00:00:00,EU,5.84
2014-06-26 00:00:00,EU,5.77
2014-06-27 00:00:00,DE,5.7
2014-06-30 00:00:00,EU,5.82
2014-07-01 00:00:00,EU,5.8
2014-07-03 00:00:00,EU,5.97
2014-07-04 00:00:00,DE,5.91
2014-07-07 00:00:00,EU,5.5
2014-07-08 00:00:00,EU,5.6
2014-07-10 00:00:00,EU,5.72
2014-07-11 00:00:00,DE,5.64
2014-07-14 00:00:00,EU,5.7
2014-07-15 00:00:00,EU,5.88
2014-07-17 00:00:00,EU,6.07
2014-07-18 00:00:00,DE,6.0
2014-07-21 00:00:00,EU,6.02
2014-07-22 00:00:00,EU,6.1
2014-07-24 00:00:00,EU,6.1
2014-07-25 00:00:00,DE,5.99
2014-07-28 00:00:00,EU,6.05
2014-07-29 00:00:00,EU,6.1
2014-07-31 00:00:00,EU,6.11
2014-08-01 00:00:00,DE,6.29
2014-08-04 00:00:00,EU,6.27
2014-08-05 00:00:00,EU,6.17
2014-08-07 00:00:00,EU,6.2
2014-08-08 00:00:00,DE,5.93
2014-08-11 00:00:00,EU,5.95
2014-08-12 00:00:00,EU,6.07
2014-08-14 00:00:00,EU,6.22
2014-08-15 00:00:00,DE,6.18
2014-08-18 00:00:00,EU,6.34
2014-08-19 00:00:00,EU,6.28
2014-08-21 00:00:00,EU,6.43
2014-08-22 00:00:00,DE,6.34
2014-08-25 00:00:00,EU,6.3
2014-08-26 00:00:00,EU,6.26
2014-08-28 00:00:00,EU,6.38
2014-08-29 00:00:00,DE,6.4
2014-09-01 00:00:00,EU,6.25
2014-09-02 00:00:00,EU,6.35
2014-09-03 00:00:00,EU,5.7
2014-09-04 00:00:00,EU,6.25
2014-09-05 00:00:00,DE,6.04
2014-09-08 00:00:00,EU,6.25
2014-09-09 00:00:00,EU,6.23
2014-09-11 00:00:00,EU,6.07
2014-09-12 00:00:00,DE,6.06
2014-09-15 00:00:00,EU,5.95
2014-09-16 00:00:00,EU,5.81
2014-09-18 00:00:00,EU,5.83
2014-09-19 00:00:00,DE,5.94
2014-09-22 00:00:00,EU,5.98
2014-09-23 00:00:00,EU,5.9
2014-09-25 00:00:00,EU,5.72
2014-09-26 00:00:00,DE,5.8
2014-09-29 00:00:00,EU,5.85
2014-09-30 00:00:00,EU,5.68
2014-10-01 00:00:00,EU,5.5
2014-10-02 00:00:00,EU,5.74
2014-10-06 00:00:00,EU,5.67
2014-10-07 00:00:00,EU,5.67
2014-10-09 00:00:00,EU,6.06
2014-10-10 00:00:00,DE,6.03
2014-10-13 00:00:00,EU,5.88
2014-10-14 00:00:00,EU,6.01
2014-10-16 00:00:00,EU,6.16
2014-10-17 00:00:00,DE,6.23
2014-10-20 00:00:00,EU,6.03
2014-10-21 00:00:00,EU,6.15
2014-10-23 00:00:00,EU,6.16
2014-10-24 00:00:00,DE,6.35
2014-10-27 00:00:00,EU,6.33
2014-10-28 00:00:00,EU,6.26
2014-10-29 00:00:00,EU,5.92
2014-10-30 00:00:00,EU,6.38
2014-10-31 00:00:00,DE,6.35
2014-11-03 00:00:00,EU,6.3
2014-11-04 00:00:00,EU,6.56
