feature,shap_value,feature_value
exog_2_D-1_h07,-0.021457545077785783,2758.03925
exog_2_D-1_h08,-0.010321028942111883,3330.694
exog_2_D-1_h09,-0.011161719227027547,5107.51825
exog_2_D-1_h10,-0.007800949656934628,6971.162
exog_2_D-1_h11,-0.0059472760146383795,8124.1785
exog_2_D-1_h12,-0.0045656543678922875,8431.87625
exog_2_D-1_h13,-0.0018689438008139484,8078.2425
exog_2_D-1_h14,-0.005532948628289164,6946.05725
exog_2_D-1_h15,-0.011473884052732211,5320.5245
exog_2_D-1_h16,-0.023807700677426737,4086.63325
exog_2_D-1_h17,-0.021632336166698015,3979.401
exog_2_D-1_h18,-0.0062555266470234695,4273.604
exog_2_D-1_h19,0.010850026438194693,4414.396
exog_2_D-1_h20,0.0238057207289971,4385.231
exog_2_D-1_h21,0.01335007327485894,4378.03125
exog_2_D-1_h22,0.0022511825299964404,4343.291
exog_2_D-1_h23,0.011184065968453985,4304.027
exog_2_D-7_h00,-0.006930820444061164,3270.72675
exog_2_D-7_h01,-8.42747049306899e-05,3131.43875
exog_2_D-7_h02,-0.0034321013243621126,3017.758
exog_2_D-7_h03,-0.003170872002826311,2882.9190000000003
exog_2_D-7_h04,-0.012788571557457207,2771.5225
exog_2_D-7_h05,-0.007514816039018629,2609.47
exog_2_D-7_h06,-0.015306225719505191,2448.16375
exog_2_D-7_h07,-0.009294572806877392,2280.048
exog_2_D-7_h08,-0.00809916503500162,2257.21425
exog_2_D-7_h09,-0.05097612566812325,2976.791
exog_2_D-7_h10,-0.008521871637274263,4078.36275
exog_2_D-7_h11,-0.042587981075320525,4950.0395
exog_2_D-7_h12,0.00034077481846693394,5289.348
exog_2_D-7_h13,-0.01496786267028284,5034.43675
exog_2_D-7_h14,-0.009199335575030014,4317.82075
exog_2_D-7_h15,-0.011478143655511612,3289.42375
exog_2_D-7_h16,-0.013340270387866188,2492.66275
exog_2_D-7_h17,-0.009867109218465854,2648.9775
exog_2_D-7_h18,-0.02174675186831183,3004.583
exog_2_D-7_h19,-0.0014646367094064093,3251.396
exog_2_D-7_h20,-0.004388755166138131,3384.8585
exog_2_D-7_h21,-0.003023916500070593,3566.92475
exog_2_D-7_h22,-0.00017877603706112867,3787.457
exog_2_D-7_h23,-0.002403020910604715,4006.4815
exog_2_D0_h00,-0.00019523848563440625,1978.1815
exog_2_D0_h01,0.004273361746376189,1789.32325
exog_2_D0_h02,0.004385923155066979,1619.2855
exog_2_D0_h03,0.015661305194251966,1427.95775
exog_2_D0_h04,0.014623039293747215,1303.4245
exog_2_D0_h05,0.015323123550939198,1260.698
exog_2_D0_h06,0.03472334374726281,1253.80125
exog_2_D0_h07,0.0628089338008566,1247.39425
